"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2023","12.00","12.00","12.01","12.00","238.07K","0.00%"
"05/16/2023","12.00","12.00","12.01","12.00","220.55K","0.00%"
"05/15/2023","12.00","12.00","12.01","12.00","498.74K","0.00%"
"05/12/2023","12.00","12.00","12.02","12.00","463.29K","0.00%"
"05/11/2023","12.00","12.00","12.01","12.00","425.72K","0.00%"
"05/10/2023","12.00","12.00","12.01","12.00","230.21K","0.00%"
"05/09/2023","12.00","12.00","12.01","12.00","423.24K","0.00%"
"05/08/2023","12.00","12.00","12.01","12.00","1.23M","0.00%"
"05/05/2023","12.00","12.00","12.01","12.00","2.14M","0.00%"
"05/04/2023","12.00","12.00","12.01","12.00","21.45M","0.13%"
"05/03/2023","11.98","11.98","11.99","11.98","255.76K","0.00%"
"05/02/2023","11.98","11.91","11.99","11.91","901.00K","0.50%"
"04/28/2023","11.93","11.91","11.94","11.91","281.75K","0.00%"
"04/27/2023","11.93","11.91","11.94","11.91","196.36K","0.00%"
"04/26/2023","11.93","11.90","11.94","11.90","167.77K","0.08%"
"04/25/2023","11.91","11.90","11.93","11.90","553.31K","0.13%"
"04/24/2023","11.90","11.90","11.91","11.90","384.58K","0.00%"
"04/21/2023","11.90","11.90","11.93","11.90","493.86K","0.00%"
"04/20/2023","11.90","11.90","11.91","11.90","254.56K","0.00%"
"04/19/2023","11.90","11.90","11.91","11.90","199.50K","-0.08%"
"04/18/2023","11.91","11.90","11.91","11.90","388.34K","0.04%"
"04/17/2023","11.90","11.90","11.91","11.90","73.62K","0.00%"
"04/14/2023","11.90","11.90","11.91","11.90","303.44K","0.00%"
"04/13/2023","11.90","11.90","11.92","11.90","248.82K","0.04%"
"04/12/2023","11.90","11.90","11.93","11.90","585.07K","-0.17%"
"04/11/2023","11.92","11.90","11.92","11.89","265.40K","-0.04%"
"04/06/2023","11.93","11.92","11.93","11.89","238.24K","0.21%"
"04/05/2023","11.90","11.88","11.92","11.88","378.06K","0.13%"
"04/04/2023","11.89","11.88","11.89","11.88","204.82K","-0.08%"
"04/03/2023","11.90","11.88","11.90","11.87","128.92K","0.13%"